Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for bsd-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 16:22:20 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(373544k free)

/proc/meminfo:

CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/Users/colonelhou/Documents/company/wksp/MacOS-JAVA/src/main/java/com/java/jvm/hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:MaxNewSize=2097152 -XX:NewSize=2097152 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.139: [GC (Allocation Failure) [PSYoungGen: 1024K->506K(1536K)] 1024K->530K(9728K), 0.0012948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.311: [GC (Allocation Failure) [PSYoungGen: 1166K->228K(1536K)] 3202K->2279K(9728K), 0.0002779 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.311: [GC (Allocation Failure) [PSYoungGen: 1240K->162K(1536K)] 3291K->2238K(9728K), 0.0002552 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.312: [GC (Allocation Failure) [PSYoungGen: 1168K->131K(1536K)] 3244K->2239K(9728K), 0.0006298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.313: [GC (Allocation Failure) [PSYoungGen: 1132K->174K(1536K)] 3239K->2297K(9728K), 0.0008214 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.314: [GC (Allocation Failure) [PSYoungGen: 1164K->107K(1536K)] 3287K->2247K(9728K), 0.0008295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.315: [GC (Allocation Failure) [PSYoungGen: 1126K->180K(1536K)] 3266K->2319K(9728K), 0.0009053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.316: [GC (Allocation Failure) [PSYoungGen: 1186K->103K(1536K)] 3326K->2259K(9728K), 0.0006598 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.317: [GC (Allocation Failure) [PSYoungGen: 1092K->72K(1536K)] 3247K->2244K(9728K), 0.0008156 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.318: [GC (Allocation Failure) [PSYoungGen: 1086K->137K(1536K)] 3258K->2309K(9728K), 0.0007869 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.319: [GC (Allocation Failure) [PSYoungGen: 1133K->159K(1536K)] 3305K->2339K(9728K), 0.0008645 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.321: [GC (Allocation Failure) [PSYoungGen: 1133K->183K(1536K)] 3313K->2370K(9728K), 0.0008367 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.322: [GC (Allocation Failure) [PSYoungGen: 1173K->229K(1536K)] 3361K->2432K(9728K), 0.0008074 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.323: [GC (Allocation Failure) [PSYoungGen: 1239K->154K(1536K)] 3442K->2374K(9728K), 0.0008248 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.324: [GC (Allocation Failure) [PSYoungGen: 1089K->124K(1536K)] 3309K->2359K(9728K), 0.0008370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.325: [GC (Allocation Failure) [PSYoungGen: 1077K->157K(1536K)] 3313K->2393K(9728K), 0.0008096 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.326: [GC (Allocation Failure) [PSYoungGen: 1127K->159K(1536K)] 3362K->2403K(9728K), 0.0008527 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.327: [GC (Allocation Failure) [PSYoungGen: 1144K->161K(1536K)] 3388K->2412K(9728K), 0.0007664 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.329: [GC (Allocation Failure) [PSYoungGen: 1162K->162K(1536K)] 3413K->2430K(9728K), 0.0007982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.330: [GC (Allocation Failure) [PSYoungGen: 1177K->132K(1536K)] 3445K->2423K(9728K), 0.0008188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.331: [GC (Allocation Failure) [PSYoungGen: 1114K->114K(1536K)] 3406K->2406K(9728K), 0.0008532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.332: [GC (Allocation Failure) [PSYoungGen: 1111K->218K(1536K)] 3403K->2526K(9728K), 0.0008733 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.333: [GC (Allocation Failure) [PSYoungGen: 1177K->168K(1536K)] 3485K->2484K(9728K), 0.0008925 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.342: [GC (Allocation Failure) [PSYoungGen: 1144K->223K(1536K)] 3460K->2538K(9728K), 0.0006837 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.343: [GC (Allocation Failure) [PSYoungGen: 1205K->139K(1536K)] 3521K->2479K(9728K), 0.0004716 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.344: [GC (Allocation Failure) [PSYoungGen: 1135K->195K(1536K)] 3474K->2535K(9728K), 0.0005662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.345: [GC (Allocation Failure) [PSYoungGen: 1204K->197K(1536K)] 3543K->2537K(9728K), 0.0003074 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.345: [GC (Allocation Failure) [PSYoungGen: 1219K->199K(1536K)] 3558K->2539K(9728K), 0.0002738 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.346: [GC (Allocation Failure) [PSYoungGen: 1177K->88K(1536K)] 3517K->2428K(9728K), 0.0002689 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.346: [GC (Allocation Failure) [PSYoungGen: 1078K->204K(1536K)] 3417K->2543K(9728K), 0.0002810 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.347: [GC (Allocation Failure) [PSYoungGen: 1147K->206K(1536K)] 3486K->2545K(9728K), 0.0002461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.347: [GC (Allocation Failure) [PSYoungGen: 1159K->149K(1536K)] 3498K->2488K(9728K), 0.0002653 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.348: [GC (Allocation Failure) [PSYoungGen: 1112K->150K(1536K)] 3452K->2490K(9728K), 0.0007952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.349: [GC (Allocation Failure) [PSYoungGen: 1124K->211K(1536K)] 3463K->2551K(9728K), 0.0002777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.349: [GC (Allocation Failure) [PSYoungGen: 1195K->213K(1536K)] 3535K->2553K(9728K), 0.0002872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.350: [GC (Allocation Failure) [PSYoungGen: 1207K->215K(1536K)] 3547K->2555K(9728K), 0.0002836 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.350: [GC (Allocation Failure) [PSYoungGen: 1220K->217K(1536K)] 3559K->2557K(9728K), 0.0002696 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.351: [GC (Allocation Failure) [PSYoungGen: 1232K->219K(1536K)] 3571K->2559K(9728K), 0.0002659 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.353: [GC (Allocation Failure) [PSYoungGen: 1181K->95K(1536K)] 3520K->2434K(9728K), 0.0005682 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.354: [GC (Allocation Failure) [PSYoungGen: 1065K->222K(1536K)] 3405K->2562K(9728K), 0.0003276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.354: [GC (Allocation Failure) [PSYoungGen: 1138K->224K(1536K)] 3478K->2564K(9728K), 0.0003040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.355: [GC (Allocation Failure) [PSYoungGen: 1213K->96K(1536K)] 3552K->2436K(9728K), 0.0002683 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.355: [GC (Allocation Failure) [PSYoungGen: 1094K->228K(1536K)] 3433K->2567K(9728K), 0.0002650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.356: [GC (Allocation Failure) [PSYoungGen: 1168K->230K(1536K)] 3508K->2569K(9728K), 0.0002774 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.356: [GC (Allocation Failure) [PSYoungGen: 1244K->98K(1536K)] 3584K->2438K(9728K), 0.0002693 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.357: [GC (Allocation Failure) [PSYoungGen: 1122K->233K(1536K)] 3461K->2572K(9728K), 0.0002554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.357: [GC (Allocation Failure) [PSYoungGen: 1198K->167K(1536K)] 3538K->2507K(9728K), 0.0007846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.358: [GC (Allocation Failure) [PSYoungGen: 1140K->236K(1536K)] 3479K->2576K(9728K), 0.0002665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.359: [GC (Allocation Failure) [PSYoungGen: 1217K->169K(1536K)] 3557K->2509K(9728K), 0.0004353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.359: [GC (Allocation Failure) [PSYoungGen: 1158K->240K(1536K)] 3497K->2579K(9728K), 0.0002640 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.360: [GC (Allocation Failure) [PSYoungGen: 1236K->242K(1536K)] 3576K->2581K(9728K), 0.0002487 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.360: [GC (Allocation Failure) [PSYoungGen: 1246K->243K(1536K)] 3585K->2583K(9728K), 0.0002639 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.361: [GC (Allocation Failure) [PSYoungGen: 1255K->245K(1536K)] 3595K->2585K(9728K), 0.0002418 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.361: [GC (Allocation Failure) [PSYoungGen: 1265K->246K(1536K)] 3604K->2586K(9728K), 0.0002364 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.362: [GC (Allocation Failure) [PSYoungGen: 1202K->104K(1536K)] 3542K->2443K(9728K), 0.0007589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.363: [GC (Allocation Failure) [PSYoungGen: 1066K->250K(1536K)] 3406K->2589K(9728K), 0.0002729 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.363: [GC (Allocation Failure) [PSYoungGen: 1146K->251K(1536K)] 3485K->2591K(9728K), 0.0002566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.363: [GC (Allocation Failure) [PSYoungGen: 1153K->179K(1536K)] 3492K->2519K(9728K), 0.0002419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.364: [GC (Allocation Failure) [PSYoungGen: 1086K->254K(1536K)] 3426K->2594K(9728K), 0.0002558 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.364: [GC (Allocation Failure) [PSYoungGen: 1167K->255K(1536K)] 3507K->2595K(9728K), 0.0002734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.365: [GC (Allocation Failure) [PSYoungGen: 1174K->257K(1536K)] 3514K->2597K(9728K), 0.0002743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.366: [GC (Allocation Failure) [PSYoungGen: 1182K->258K(1536K)] 3521K->2598K(9728K), 0.0003090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.366: [GC (Allocation Failure) [PSYoungGen: 1189K->260K(1536K)] 3528K->2599K(9728K), 0.0002740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.367: [GC (Allocation Failure) [PSYoungGen: 1196K->261K(1536K)] 3536K->2601K(9728K), 0.0002680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.367: [GC (Allocation Failure) [PSYoungGen: 1203K->263K(1536K)] 3543K->2602K(9728K), 0.0002626 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.368: [GC (Allocation Failure) [PSYoungGen: 1210K->187K(1536K)] 3550K->2526K(9728K), 0.0008175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.369: [GC (Allocation Failure) [PSYoungGen: 1140K->188K(1536K)] 3480K->2527K(9728K), 0.0016932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.372: [GC (Allocation Failure) [PSYoungGen: 1147K->189K(1536K)] 3486K->2528K(9728K), 0.0019611 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.374: [GC (Allocation Failure) [PSYoungGen: 1153K->189K(1536K)] 3493K->2529K(9728K), 0.0017703 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.376: [GC (Allocation Failure) [PSYoungGen: 1160K->190K(1536K)] 3500K->2530K(9728K), 0.0029621 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.379: [GC (Allocation Failure) [PSYoungGen: 1167K->191K(1536K)] 3507K->2531K(9728K), 0.0014510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.381: [GC (Allocation Failure) [PSYoungGen: 1174K->192K(1536K)] 3513K->2532K(9728K), 0.0026379 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.384: [GC (Allocation Failure) [PSYoungGen: 1180K->193K(1536K)] 3520K->2533K(9728K), 0.0028461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.387: [GC (Allocation Failure) [PSYoungGen: 1187K->194K(1536K)] 3527K->2534K(9728K), 0.0012185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.388: [GC (Allocation Failure) [PSYoungGen: 1194K->195K(1536K)] 3533K->2535K(9728K), 0.0009569 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.390: [GC (Allocation Failure) [PSYoungGen: 1201K->196K(1536K)] 3540K->2536K(9728K), 0.0014177 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.391: [GC (Allocation Failure) [PSYoungGen: 1207K->197K(1536K)] 3547K->2537K(9728K), 0.0009190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.393: [GC (Allocation Failure) [PSYoungGen: 1214K->198K(1536K)] 3554K->2538K(9728K), 0.0014284 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.395: [GC (Allocation Failure) [PSYoungGen: 1221K->199K(1536K)] 3560K->2539K(9728K), 0.0013522 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.396: [GC (Allocation Failure) [PSYoungGen: 1143K->116K(1536K)] 3483K->2455K(9728K), 0.0012549 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.398: [GC (Allocation Failure) [PSYoungGen: 1065K->285K(1536K)] 3404K->2625K(9728K), 0.0009456 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.399: [GC (Allocation Failure) [PSYoungGen: 1154K->202K(1536K)] 3494K->2541K(9728K), 0.0010496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.400: [GC (Allocation Failure) [PSYoungGen: 1160K->117K(1536K)] 3499K->2457K(9728K), 0.0008601 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.401: [GC (Allocation Failure) [PSYoungGen: 1080K->289K(1536K)] 3420K->2629K(9728K), 0.0014248 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.403: [GC (Allocation Failure) [PSYoungGen: 1171K->204K(1536K)] 3510K->2544K(9728K), 0.0010027 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.404: [GC (Allocation Failure) [PSYoungGen: 1177K->118K(1536K)] 3516K->2458K(9728K), 0.0013449 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.406: [GC (Allocation Failure) [PSYoungGen: 1095K->293K(1536K)] 3435K->2633K(9728K), 0.0025086 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.409: [GC (Allocation Failure) [PSYoungGen: 1187K->207K(1536K)] 3527K->2546K(9728K), 0.0012991 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.410: [GC (Allocation Failure) [PSYoungGen: 1193K->120K(1536K)] 3533K->2459K(9728K), 0.0033183 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.414: [GC (Allocation Failure) [PSYoungGen: 1111K->297K(1536K)] 3450K->2636K(9728K), 0.0010758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.415: [GC (Allocation Failure) [PSYoungGen: 1204K->209K(1536K)] 3544K->2549K(9728K), 0.0021163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.417: [GC (Allocation Failure) [PSYoungGen: 1210K->121K(1536K)] 3549K->2461K(9728K), 0.0014180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.419: [GC (Allocation Failure) [PSYoungGen: 1126K->301K(1536K)] 3466K->2640K(9728K), 0.0009403 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.420: [GC (Allocation Failure) [PSYoungGen: 1221K->212K(1536K)] 3560K->2551K(9728K), 0.0016039 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.422: [GC (Allocation Failure) [PSYoungGen: 1226K->122K(1536K)] 3566K->2462K(9728K), 0.0019388 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.425: [GC (Allocation Failure) [PSYoungGen: 1142K->304K(1536K)] 3481K->2644K(9728K), 0.0014421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.427: [GC (Allocation Failure) [PSYoungGen: 1237K->214K(1536K)] 3577K->2554K(9728K), 0.0043341 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.431: [GC (Allocation Failure) [PSYoungGen: 1151K->307K(1536K)] 3491K->2646K(9728K), 0.0003029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.432: [GC (Allocation Failure) [PSYoungGen: 1248K->216K(1536K)] 3587K->2556K(9728K), 0.0037411 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.436: [GC (Allocation Failure) [PSYoungGen: 1161K->309K(1536K)] 3500K->2649K(9728K), 0.0019916 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.438: [GC (Allocation Failure) [PSYoungGen: 1258K->218K(1536K)] 3598K->2557K(9728K), 0.0008589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.439: [GC (Allocation Failure) [PSYoungGen: 1170K->312K(1536K)] 3510K->2651K(9728K), 0.0024671 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.442: [GC (Allocation Failure) [PSYoungGen: 1269K->219K(1536K)] 3608K->2559K(9728K), 0.0029827 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.445: [GC (Allocation Failure) [PSYoungGen: 1180K->314K(1536K)] 3520K->2654K(9728K), 0.0015835 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.447: [GC (Allocation Failure) [PSYoungGen: 1279K->221K(1536K)] 3619K->2560K(9728K), 0.0008521 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.448: [GC (Allocation Failure) [PSYoungGen: 1190K->316K(1536K)] 3529K->2656K(9728K), 0.0013542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.450: [GC (Allocation Failure) [PSYoungGen: 1289K->222K(1536K)] 3629K->2562K(9728K), 0.0008543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.451: [GC (Allocation Failure) [PSYoungGen: 1199K->319K(1536K)] 3539K->2659K(9728K), 0.0013522 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.452: [GC (Allocation Failure) [PSYoungGen: 1300K->224K(1536K)] 3639K->2564K(9728K), 0.0008891 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.453: [GC (Allocation Failure) [PSYoungGen: 1209K->321K(1536K)] 3548K->2661K(9728K), 0.0007980 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.454: [GC (Allocation Failure) [PSYoungGen: 1310K->226K(1536K)] 3650K->2565K(9728K), 0.0013518 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.456: [GC (Allocation Failure) [PSYoungGen: 1218K->324K(1536K)] 3558K->2663K(9728K), 0.0013411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.458: [GC (Allocation Failure) [PSYoungGen: 1321K->227K(1536K)] 3660K->2567K(9728K), 0.0013558 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.459: [GC (Allocation Failure) [PSYoungGen: 1228K->326K(1536K)] 3568K->2666K(9728K), 0.0008422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.460: [GC (Allocation Failure) [PSYoungGen: 1331K->229K(1536K)] 3671K->2568K(9728K), 0.0013428 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.462: [GC (Allocation Failure) [PSYoungGen: 1238K->329K(1536K)] 3577K->2668K(9728K), 0.0013414 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.463: [GC (Allocation Failure) [PSYoungGen: 1342K->230K(1536K)] 3681K->2570K(9728K), 0.0014153 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.465: [GC (Allocation Failure) [PSYoungGen: 1247K->331K(1536K)] 3587K->2671K(9728K), 0.0013353 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.466: [GC (Allocation Failure) [PSYoungGen: 1352K->232K(1536K)] 3692K->2572K(9728K), 0.0013161 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.468: [GC (Allocation Failure) [PSYoungGen: 1056K->233K(1536K)] 3395K->2572K(9728K), 0.0008625 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.469: [GC (Allocation Failure) [PSYoungGen: 1059K->233K(1536K)] 3398K->2573K(9728K), 0.0013246 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.470: [GC (Allocation Failure) [PSYoungGen: 1062K->234K(1536K)] 3402K->2574K(9728K), 0.0013298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.472: [GC (Allocation Failure) [PSYoungGen: 1065K->235K(1536K)] 3405K->2574K(9728K), 0.0013954 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.473: [GC (Allocation Failure) [PSYoungGen: 1068K->235K(1536K)] 3408K->2575K(9728K), 0.0008397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.474: [GC (Allocation Failure) [PSYoungGen: 1072K->236K(1536K)] 3411K->2576K(9728K), 0.0008639 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.476: [GC (Allocation Failure) [PSYoungGen: 1075K->237K(1536K)] 3414K->2576K(9728K), 0.0013438 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.477: [GC (Allocation Failure) [PSYoungGen: 1078K->237K(1536K)] 3418K->2577K(9728K), 0.0008814 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.478: [GC (Allocation Failure) [PSYoungGen: 1081K->238K(1536K)] 3421K->2577K(9728K), 0.0014278 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.480: [GC (Allocation Failure) [PSYoungGen: 1084K->238K(1536K)] 3424K->2578K(9728K), 0.0008197 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
